short,long,short2,long2
TEN,Tennessee,TEN,Tennessee
KC,Kansas City,KC,Kansas City
SEA,Seattle,SEA,Seattle
GB,Green Bay,GB,Green Bay
LV,Las Vegas,LV,Las Vegas
BUF,Buffalo,BUF,Buffalo
LA,LA Rams,LAR,Los Angeles Rams
ARI,Arizona,ARI,Arizona
PIT,Pittsburgh,PIT,Pittsburgh
MIA,Miami,MIA,Miami
HOU,Houston,HOU,Houston
DET,Detroit,DET,Detroit
TB,Tampa Bay,TB,Tampa Bay
ATL,Atlanta,ATL,Atlanta
BAL,Baltimore,BAL,Baltimore
NO,New Orleans,NO,New Orleans
CAR,Carolina,CAR,Carolina
JAX,Jacksonville,JAX,Jacksonville
IND,Indianapolis,IND,Indianapolis
SF,San Francisco,SF,San Francisco
MIN,Minnesota,MIN,Minnesota
DAL,Dallas,DAL,Dallas
CLE,Cleveland,CLE,Cleveland
NE,New England,NE,New England
CHI,Chicago,CHI,Chicago
LAC,LA Chargers,LAC,Los Angeles Chargers
CIN,Cincinnati,CIN,Cincinnati
PHI,Philadelphia,PHI,Philadelphia
DEN,Denver,DEN,Denver
WAS,Washington,WSH,Washington
NYG,NY Giants,NYG,New York Giants
NYJ,NY Jets,NYJ,New York Jets
