Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BUF,1,-25.3%,1,1,-24.5%,1,-18.0%,1,-24.9%,3,-25.9%,1,-32.5%,1,-33.1%,3,-31.5%,32,14.9%,32,-8.9%
ARI,2,-14.9%,2,4,-14.6%,3,-10.5%,4,-14.3%,8,-15.6%,3,-14.5%,3,-14.9%,11,-14.1%,10,3.8%,11,0.8%
CAR,3,-14.2%,6,5,-12.6%,5,-9.0%,2,-17.3%,19,-10.4%,2,-15.3%,2,-18.5%,18,-11.2%,31,14.4%,27,-2.2%
DAL,4,-13.7%,7,2,-14.8%,4,-9.0%,3,-14.4%,18,-12.6%,4,-14.0%,4,-12.2%,8,-16.9%,17,5.8%,10,1.1%
NE,5,-13.6%,5,3,-14.8%,2,-12.3%,5,-13.3%,13,-14.0%,5,-12.8%,5,-10.2%,9,-16.2%,23,7.2%,28,-2.6%
NO,6,-10.7%,3,6,-9.9%,6,-8.1%,13,6.0%,1,-38.0%,6,-11.0%,11,5.4%,1,-37.9%,19,6.4%,16,-0.7%
LAR,7,-5.9%,4,8,-5.7%,7,-5.4%,10,1.0%,9,-15.2%,9,-4.8%,8,-0.2%,19,-11.1%,14,4.8%,24,-1.8%
MIN,8,-5.5%,8,7,-7.3%,9,-4.9%,6,-7.4%,28,-2.9%,10,-4.1%,6,-6.9%,29,-0.1%,11,4.3%,13,0.5%
TB,9,-4.5%,9,11,-4.7%,8,-5.4%,12,3.6%,4,-22.0%,8,-5.5%,10,3.6%,4,-25.1%,4,2.6%,14,-0.4%
IND,10,-3.3%,11,9,-4.9%,10,-4.8%,23,16.0%,2,-31.3%,7,-7.6%,16,9.2%,2,-31.9%,22,7.1%,26,-2.2%
GB,11,-2.2%,16,10,-4.7%,12,-3.4%,8,-0.6%,24,-4.5%,11,-2.5%,7,-3.4%,27,-1.2%,18,6.0%,17,-0.8%
TEN,12,-1.4%,10,12,-3.6%,14,-0.7%,9,0.0%,25,-3.9%,17,3.2%,12,5.6%,28,-1.1%,16,5.3%,4,3.8%
SF,13,-0.6%,17,13,-1.8%,11,-3.6%,20,13.5%,5,-19.9%,21,4.2%,23,16.3%,15,-12.3%,8,3.5%,8,2.6%
PIT,14,0.1%,13,15,-0.2%,13,-3.2%,15,10.1%,17,-12.8%,15,1.2%,19,11.1%,17,-11.4%,15,4.9%,25,-2.0%
NYG,15,0.6%,15,14,-1.7%,15,-0.2%,11,1.5%,30,-0.6%,12,0.2%,9,3.4%,22,-4.1%,9,3.6%,12,0.7%
MIA,16,1.1%,25,17,2.1%,17,1.4%,17,10.5%,14,-13.8%,14,1.1%,17,9.3%,16,-11.9%,21,7.0%,18,-0.8%
HOU,17,2.1%,21,19,2.4%,22,3.7%,14,7.1%,27,-3.7%,18,3.5%,13,8.0%,26,-1.7%,6,3.1%,15,-0.4%
LAC,18,2.2%,20,16,2.0%,20,2.6%,7,-1.7%,32,6.1%,26,9.4%,20,11.5%,32,7.4%,7,3.5%,1,5.9%
PHI,19,3.0%,24,20,3.8%,23,3.7%,18,10.9%,20,-6.5%,23,4.6%,22,15.1%,21,-8.1%,24,7.7%,9,1.7%
CIN,20,3.1%,18,24,5.5%,26,5.0%,21,14.1%,10,-15.1%,13,0.7%,15,9.1%,12,-13.4%,12,4.6%,31,-3.9%
SEA,21,3.2%,23,18,2.3%,19,2.2%,25,17.3%,11,-14.9%,24,5.0%,25,19.1%,14,-13.0%,2,1.3%,3,4.0%
CHI,22,3.5%,19,23,5.3%,18,1.5%,19,11.1%,21,-5.4%,20,3.9%,18,10.1%,23,-3.4%,27,10.3%,6,3.2%
LV,23,4.0%,14,22,4.8%,25,4.2%,22,15.8%,16,-13.0%,16,2.3%,21,13.0%,13,-13.2%,3,1.4%,19,-0.8%
DEN,24,4.2%,22,25,6.0%,24,4.0%,16,10.4%,23,-4.7%,22,4.6%,14,9.1%,25,-1.9%,29,12.2%,20,-0.9%
BAL,25,5.2%,26,21,4.2%,16,0.8%,24,17.1%,15,-13.8%,19,3.7%,24,18.4%,6,-19.7%,25,7.9%,23,-1.6%
CLE,26,6.4%,12,26,6.6%,27,6.0%,26,21.3%,12,-14.7%,25,6.9%,26,22.3%,10,-14.8%,30,12.7%,22,-1.4%
WAS,27,9.1%,30,28,7.9%,21,3.0%,29,24.1%,6,-16.0%,28,11.4%,30,31.3%,5,-21.6%,13,4.7%,2,4.4%
JAX,28,10.4%,27,27,7.9%,29,7.7%,31,31.6%,7,-15.9%,27,9.7%,31,31.3%,7,-17.2%,28,10.6%,29,-3.0%
DET,29,10.4%,29,30,9.3%,30,8.4%,28,21.9%,29,-2.8%,29,11.5%,27,23.8%,24,-2.7%,5,2.9%,5,3.5%
KC,30,11.1%,28,29,8.8%,28,7.3%,27,21.5%,26,-3.9%,31,15.9%,28,26.1%,30,1.2%,20,6.9%,7,2.8%
ATL,31,13.3%,31,31,13.3%,31,10.0%,30,27.7%,22,-5.1%,30,12.2%,29,29.3%,20,-9.8%,1,1.0%,21,-1.0%
NYJ,32,20.6%,32,32,22.7%,32,16.7%,32,33.5%,31,4.1%,32,19.7%,32,33.5%,31,2.0%,26,8.4%,30,-3.0%

