"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.143","50.9%","0.197","52.1%","0.021","48.0%"
"2","","ARI","0.122","47.9%","0.254","53.4%","-0.055","40.4%"
"3","","GB","0.107","46.7%","0.200","49.4%","-0.047","42.1%"
"4","","LA","0.105","47.9%","0.219","51.8%","-0.101","40.7%"
"5","","KC","0.104","51.2%","0.175","53.4%","-0.062","46.1%"
"6","","BUF","0.101","48.0%","0.178","50.9%","-0.057","42.1%"
"7","","LAC","0.099","46.3%","0.163","49.1%","-0.041","40.0%"
"8","","IND","0.099","45.0%","0.123","46.7%","0.064","42.7%"
"9","","SF","0.079","45.4%","0.178","48.0%","-0.050","41.9%"
"10","","DAL","0.070","47.7%","0.179","51.4%","-0.106","41.8%"
"11","","MIN","0.058","42.4%","0.181","47.7%","-0.130","34.3%"
"12","","PHI","0.057","46.8%","0.093","45.1%","0.007","49.1%"
"13","","DEN","0.051","44.3%","0.144","47.5%","-0.103","39.2%"
"14","","NE","0.049","47.7%","0.114","49.8%","-0.042","44.8%"
"15","","CLE","0.040","45.0%","0.043","46.1%","0.037","43.7%"
"16","","TEN","0.036","46.7%","0.097","53.0%","-0.044","38.3%"
"17","","CIN","0.034","46.0%","0.115","50.5%","-0.089","39.2%"
"18","","BAL","0.030","48.2%","0.060","49.3%","-0.018","46.4%"
"19","","NO","0.009","43.5%","0.110","46.8%","-0.134","38.8%"
"20","","WAS","0.005","45.3%","0.068","46.7%","-0.096","43.0%"
"21","","LV","-0.004","45.6%","0.086","48.2%","-0.179","40.4%"
"22","","SEA","-0.009","43.6%","0.019","43.7%","-0.058","43.5%"
"23","","PIT","-0.014","40.2%","0.024","42.5%","-0.084","35.8%"
"24","","MIA","-0.043","42.1%","0.034","46.7%","-0.222","31.5%"
"25","","NYG","-0.052","42.2%","-0.017","43.8%","-0.124","38.8%"
"26","","JAX","-0.059","46.0%","-0.061","46.3%","-0.055","45.3%"
"27","","NYJ","-0.063","44.7%","-0.033","46.5%","-0.132","40.6%"
"28","","CHI","-0.074","42.0%","-0.076","42.9%","-0.071","40.7%"
"29","","CAR","-0.079","43.0%","-0.077","43.8%","-0.082","41.8%"
"30","","ATL","-0.091","41.2%","-0.013","47.9%","-0.237","28.5%"
"31","","DET","-0.108","40.8%","-0.139","43.4%","-0.055","36.3%"
"32","","HOU","-0.160","36.4%","-0.086","43.7%","-0.283","24.4%"
