Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
TB,1,28.7%,1,9-3,2,26.8%,2,26.4%,1,25.6%,8,-4.5%,25,-1.5%,2,10.0,2,33.2%,22,-2.2%,26,-5.0%,5,7.8%
NE,2,28.0%,2,9-4,1,36.5%,1,36.5%,11,8.1%,2,-17.0%,4,2.8%,5,8.7,3,30.4%,30,-4.4%,15,-0.4%,30,23.2%
BUF,3,25.0%,3,7-5,4,22.9%,3,22.1%,14,3.4%,1,-21.0%,14,0.6%,13,7.2,1,35.9%,31,-6.2%,24,-4.2%,32,39.3%
DAL,4,24.7%,5,8-4,3,23.0%,4,21.8%,7,10.7%,4,-11.8%,7,2.2%,3,9.8,5,24.6%,11,1.9%,16,-0.8%,18,11.9%
ARI,5,22.3%,4,10-2,7,18.9%,7,17.5%,12,7.8%,3,-13.4%,12,1.1%,4,9.0,4,29.9%,21,-1.6%,6,6.5%,14,11.3%
LAR,6,20.1%,6,8-4,8,17.2%,8,16.7%,5,13.6%,6,-6.9%,20,-0.4%,1,10.8,6,20.8%,26,-2.5%,1,10.5%,12,10.4%
SF,7,16.7%,7,6-6,5,19.2%,6,18.3%,4,13.8%,9,-3.9%,22,-1.0%,7,8.5,10,11.5%,7,2.9%,31,-12.3%,4,5.8%
IND,8,14.2%,8,7-6,6,19.1%,5,19.1%,9,8.8%,11,-3.2%,6,2.2%,9,7.9,7,20.1%,29,-3.9%,8,4.3%,19,12.1%
KC,9,13.6%,9,8-4,9,16.1%,9,16.4%,6,12.0%,25,3.8%,2,5.4%,6,8.6,16,3.6%,4,3.3%,23,-3.2%,24,16.1%
GB,10,10.6%,11,9-3,10,14.6%,10,14.6%,3,15.0%,14,0.0%,30,-4.4%,8,8.4,8,11.7%,10,1.9%,27,-5.1%,21,12.9%
MIN,11,10.2%,10,5-7,11,11.8%,11,11.4%,8,9.3%,17,1.7%,5,2.7%,10,7.7,9,11.5%,14,1.2%,20,-1.9%,1,3.1%
LAC,12,7.6%,16,7-5,12,9.4%,12,8.4%,2,15.5%,19,2.2%,31,-5.6%,15,6.8,14,4.1%,3,4.6%,29,-7.6%,15,11.6%
NO,13,5.7%,12,5-7,14,1.7%,14,1.6%,21,-3.5%,5,-9.3%,17,0.0%,12,7.3,18,1.3%,6,3.2%,30,-12.2%,28,19.5%
CLE,14,4.9%,14,6-6,15,1.4%,15,1.5%,13,5.8%,16,0.6%,19,-0.3%,11,7.5,13,5.0%,17,-0.6%,17,-1.4%,29,20.8%
PHI,15,4.2%,15,6-7,13,4.2%,13,4.2%,10,8.2%,26,4.2%,16,0.3%,14,6.9,12,5.8%,23,-2.3%,18,-1.4%,8,9.2%
BAL,16,2.1%,13,8-4,16,-2.0%,16,-0.8%,19,0.2%,24,3.8%,1,5.7%,18,6.0,11,9.4%,25,-2.4%,9,4.2%,13,10.9%
SEA,17,0.9%,17,4-8,18,-3.1%,17,-2.2%,16,0.9%,21,3.1%,3,3.1%,20,5.8,20,-1.9%,2,5.0%,28,-6.1%,2,3.7%
DEN,18,-4.0%,19,6-6,17,-3.1%,18,-2.8%,15,3.0%,20,2.8%,29,-4.2%,19,5.9,19,1.3%,28,-2.6%,22,-3.2%,17,11.9%
CIN,19,-4.4%,18,7-5,20,-5.6%,20,-5.7%,23,-5.9%,15,0.4%,10,1.8%,16,6.3,15,4.0%,32,-7.1%,5,6.7%,25,16.9%
LV,20,-5.0%,20,6-6,19,-3.7%,19,-3.7%,17,0.8%,22,3.2%,26,-2.6%,17,6.2,17,1.6%,20,-1.3%,4,7.3%,7,8.8%
WAS,21,-9.0%,21,6-6,22,-9.2%,22,-8.6%,18,0.3%,30,11.3%,8,2.0%,21,5.6,21,-8.4%,13,1.4%,3,9.1%,6,8.2%
TEN,22,-9.5%,22,8-4,21,-8.7%,21,-8.3%,22,-4.9%,23,3.6%,23,-1.0%,23,5.3,26,-12.8%,1,5.1%,32,-12.9%,26,16.9%
PIT,23,-10.2%,24,6-5-1,25,-13.6%,25,-12.3%,20,-3.5%,27,7.4%,13,0.8%,22,5.4,25,-12.5%,18,-0.8%,7,4.3%,23,14.2%
NYG,24,-12.5%,23,4-8,23,-10.4%,23,-10.3%,28,-14.0%,13,0.0%,11,1.6%,24,4.9,22,-11.6%,15,1.1%,12,2.5%,10,10.2%
MIA,25,-12.5%,26,6-7,24,-10.8%,24,-10.8%,25,-10.0%,12,-0.3%,27,-2.8%,25,4.4,23,-11.6%,24,-2.3%,14,0.0%,11,10.4%
CHI,26,-15.1%,25,4-8,26,-16.0%,26,-15.0%,26,-13.1%,18,1.9%,18,-0.1%,28,3.7,27,-17.1%,9,2.6%,10,3.9%,22,13.3%
CAR,27,-15.9%,27,5-7,27,-18.2%,27,-17.5%,30,-20.4%,7,-5.7%,24,-1.3%,26,4.3,24,-12.5%,27,-2.5%,2,10.2%,31,37.3%
NYJ,28,-24.1%,30,3-9,28,-23.5%,28,-23.4%,24,-8.1%,32,16.4%,15,0.4%,27,4.1,28,-26.3%,19,-1.2%,11,3.7%,16,11.8%
DET,29,-27.6%,31,1-10-1,30,-28.3%,30,-26.9%,29,-19.9%,28,9.6%,9,2.0%,30,3.1,29,-27.9%,8,2.9%,19,-1.5%,3,5.1%
JAX,30,-28.2%,29,2-10,29,-25.6%,29,-25.0%,27,-13.6%,31,11.9%,28,-2.8%,29,3.6,30,-32.1%,16,0.1%,25,-4.3%,9,10.1%
HOU,31,-30.2%,28,2-10,31,-32.1%,31,-31.8%,32,-33.2%,10,-3.9%,21,-0.9%,32,2.2,31,-34.3%,5,3.2%,21,-2.5%,27,18.2%
ATL,32,-37.4%,32,5-7,32,-36.0%,32,-34.2%,31,-20.8%,29,10.3%,32,-6.3%,31,2.7,32,-34.9%,12,1.5%,13,0.8%,20,12.8%

