"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BUF","-0.132","39.7%","-0.110","42.4%","-0.166","35.7%"
"2","","ARI","-0.127","43.9%","-0.136","44.4%","-0.112","43.1%"
"3","","NE","-0.100","41.7%","-0.091","43.8%","-0.114","38.3%"
"4","","CAR","-0.088","40.9%","-0.064","42.6%","-0.120","38.6%"
"5","","DAL","-0.069","41.8%","-0.067","43.4%","-0.073","38.8%"
"6","","NO","-0.050","41.6%","0.019","46.1%","-0.168","33.8%"
"7","","CIN","-0.048","41.8%","-0.016","45.2%","-0.114","34.9%"
"8","","TB","-0.041","44.5%","-0.014","47.1%","-0.110","37.7%"
"9","","LA","-0.014","44.7%","0.053","48.5%","-0.128","38.2%"
"10","","DEN","-0.007","44.5%","0.017","44.5%","-0.048","44.5%"
"11","","IND","-0.005","45.6%","0.064","49.8%","-0.128","38.2%"
"12","","PHI","0.005","46.6%","0.080","50.1%","-0.110","41.3%"
"13","","MIA","0.008","43.6%","0.049","45.9%","-0.073","39.0%"
"14","","GB","0.008","47.3%","0.034","48.4%","-0.041","45.2%"
"15","","SF","0.021","42.9%","0.099","47.3%","-0.109","35.5%"
"16","","MIN","0.022","44.8%","0.031","46.4%","0.008","42.1%"
"17","","TEN","0.025","44.4%","0.071","46.3%","-0.069","40.5%"
"18","","LAC","0.028","46.9%","0.061","45.9%","-0.017","48.4%"
"19","","NYG","0.029","47.0%","0.058","49.2%","-0.017","43.4%"
"20","","BAL","0.037","41.4%","0.115","43.7%","-0.117","36.7%"
"21","","CLE","0.048","42.4%","0.106","45.5%","-0.044","37.5%"
"22","","SEA","0.048","47.5%","0.142","52.9%","-0.094","39.4%"
"23","","PIT","0.051","44.8%","0.106","48.0%","-0.035","39.8%"
"24","","CHI","0.056","45.3%","0.126","47.8%","-0.040","42.0%"
"25","","LV","0.056","45.6%","0.163","48.9%","-0.118","40.2%"
"26","","KC","0.058","47.5%","0.104","48.0%","-0.025","46.5%"
"27","","HOU","0.060","49.0%","0.109","52.4%","-0.002","44.9%"
"28","","ATL","0.072","48.6%","0.197","52.1%","-0.125","43.2%"
"29","","DET","0.095","44.5%","0.237","49.4%","-0.094","37.9%"
"30","","WAS","0.112","45.8%","0.217","50.2%","-0.102","36.7%"
"31","","JAX","0.130","47.3%","0.243","52.2%","-0.031","40.3%"
"32","","NYJ","0.147","47.6%","0.268","51.9%","-0.022","41.6%"
