Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BUF,1,-17.6%,1,3,-15.7%,2,-19.4%,8,-15.3%,1,-18.7%,1,-20.7%,7,-16.2%,31,13.2%,27,-3.0%
NE,2,-17.3%,2,1,-22.7%,3,-18.2%,6,-16.3%,2,-18.6%,3,-17.0%,4,-20.5%,28,9.4%,28,-3.2%
DAL,3,-15.7%,4,2,-18.5%,1,-21.4%,19,-6.7%,3,-15.3%,2,-19.3%,18,-9.0%,20,6.5%,7,2.2%
ARI,4,-12.8%,3,4,-12.3%,4,-13.8%,12,-11.4%,4,-12.7%,4,-13.5%,15,-11.4%,4,2.6%,14,0.2%
NO,5,-9.8%,5,6,-8.4%,11,3.9%,1,-30.3%,8,-7.7%,13,5.3%,1,-27.1%,13,5.1%,12,0.8%
LAR,6,-9.4%,6,5,-10.0%,7,-0.4%,2,-21.8%,9,-6.9%,9,1.5%,5,-18.7%,15,5.3%,24,-1.5%
TB,7,-4.2%,8,10,-4.9%,5,-2.2%,17,-8.7%,7,-8.1%,5,-6.8%,17,-11.1%,6,2.8%,26,-2.3%
SF,8,-3.5%,9,9,-5.6%,21,9.1%,3,-21.4%,14,0.7%,21,12.3%,8,-15.7%,8,3.5%,9,1.5%
IND,9,-3.3%,11,8,-6.0%,17,6.9%,5,-18.6%,5,-8.8%,7,-0.2%,2,-21.7%,23,7.8%,29,-3.3%
CAR,10,-3.1%,7,14,-1.9%,6,-0.8%,21,-5.6%,6,-8.1%,6,-5.2%,16,-11.4%,31,13.2%,32,-5.5%
MIA,11,-0.7%,12,12,-2.9%,16,5.8%,14,-11.1%,10,-3.4%,8,0.0%,19,-9.0%,22,7.6%,31,-4.2%
CIN,12,-0.4%,15,18,0.4%,18,7.2%,10,-12.9%,11,-1.2%,16,6.3%,10,-13.5%,11,4.4%,20,-0.8%
HOU,13,-0.1%,10,15,-1.4%,8,0.5%,28,-0.8%,20,3.0%,12,3.4%,31,2.5%,14,5.3%,17,-0.2%
TEN,14,0.0%,23,13,-2.6%,14,4.5%,18,-7.8%,15,1.6%,17,7.2%,21,-8.3%,26,8.9%,19,-0.7%
CLE,15,0.1%,16,17,-0.8%,20,9.0%,11,-11.9%,12,-0.5%,19,8.1%,12,-12.0%,30,11.2%,21,-1.1%
GB,16,0.6%,14,11,-3.0%,13,4.2%,24,-5.1%,13,-0.1%,10,2.5%,22,-4.1%,16,5.6%,18,-0.5%
KC,17,0.6%,25,7,-6.3%,15,5.3%,20,-6.6%,24,5.0%,20,9.7%,27,-2.3%,29,11.1%,4,3.5%
NYG,18,1.4%,13,16,-1.2%,10,3.8%,27,-1.8%,19,2.9%,18,7.4%,25,-3.1%,10,4.1%,5,2.9%
MIN,19,1.6%,17,21,1.5%,12,4.2%,26,-2.0%,16,1.9%,11,2.6%,29,0.8%,9,4.0%,15,0.0%
LAC,20,2.2%,19,20,1.3%,9,1.5%,32,3.0%,22,4.8%,15,6.1%,32,3.4%,7,2.8%,6,2.3%
DEN,21,3.1%,20,19,0.8%,19,7.6%,25,-3.9%,17,1.9%,14,5.3%,24,-3.3%,27,9.2%,23,-1.4%
PHI,22,3.7%,26,23,3.3%,24,15.2%,15,-10.9%,21,3.7%,23,16.3%,11,-12.4%,17,5.7%,16,-0.1%
BAL,23,3.7%,24,22,3.0%,26,18.5%,4,-19.3%,18,2.5%,26,17.5%,3,-20.9%,19,6.4%,13,0.7%
CHI,24,4.8%,18,28,6.7%,23,13.6%,22,-5.2%,26,7.1%,24,16.3%,23,-3.5%,24,8.0%,1,3.7%
LV,25,5.3%,22,27,6.1%,25,16.7%,16,-10.7%,23,4.9%,25,16.8%,13,-11.8%,3,1.7%,10,1.2%
SEA,26,5.4%,21,25,4.9%,28,20.8%,9,-14.3%,25,6.4%,27,22.7%,9,-14.4%,1,1.3%,11,1.0%
PIT,27,5.8%,27,29,7.8%,22,11.0%,30,-0.6%,27,7.6%,22,15.0%,28,-1.4%,12,4.8%,8,1.8%
WAS,28,6.2%,30,24,3.5%,27,18.8%,7,-15.9%,28,9.2%,29,24.6%,6,-17.7%,18,6.1%,3,3.5%
JAX,29,10.3%,31,26,5.5%,31,28.6%,13,-11.3%,30,11.3%,31,30.5%,14,-11.5%,25,8.1%,22,-1.4%
ATL,30,10.9%,29,30,9.6%,29,22.7%,23,-5.2%,29,9.7%,28,23.0%,20,-8.4%,2,1.4%,25,-1.5%
DET,31,12.3%,28,31,11.3%,30,23.7%,29,-0.7%,31,13.9%,30,25.3%,30,0.9%,5,2.7%,2,3.6%
NYJ,32,15.6%,32,32,16.3%,32,30.0%,31,-0.5%,32,15.3%,32,31.3%,26,-2.6%,21,6.7%,30,-3.8%

