Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
TB,1,28.4%,1,1,26.6%,1,45.4%,2,10.2%,1,25.1%,1,42.3%,3,6.7%,7,4.8%,3,-2.8%
GB,2,17.9%,3,2,18.8%,2,37.1%,10,-2.4%,2,19.7%,2,40.8%,12,-3.3%,16,7.5%,22,0.4%
LAC,3,17.0%,2,3,18.1%,3,36.1%,11,-3.5%,3,16.6%,3,34.5%,10,-2.0%,15,7.4%,15,-0.1%
LAR,4,13.7%,5,8,9.4%,4,32.4%,12,-4.6%,4,15.0%,4,34.5%,13,-4.6%,14,7.3%,16,-0.1%
KC,5,13.5%,6,6,11.0%,8,26.9%,6,2.6%,8,10.5%,10,25.2%,11,-2.6%,23,9.0%,17,-0.1%
SF,6,12.7%,4,4,13.6%,7,30.8%,5,3.3%,5,12.2%,7,29.4%,6,3.9%,9,5.1%,21,0.4%
IND,7,8.4%,9,7,9.6%,18,13.4%,1,12.2%,14,7.5%,16,13.9%,2,9.7%,12,6.7%,18,0.0%
DAL,8,8.3%,7,13,3.2%,9,24.2%,13,-4.9%,13,8.3%,11,25.0%,14,-6.1%,17,7.7%,19,0.0%
PHI,9,8.1%,10,9,8.4%,14,17.3%,3,7.6%,11,9.0%,14,21.6%,4,5.0%,4,3.9%,26,1.2%
NE,10,8.0%,11,5,11.6%,10,24.0%,9,-0.9%,10,9.1%,12,24.8%,8,0.5%,27,10.0%,12,-0.5%
MIN,11,7.7%,8,11,7.3%,6,31.9%,27,-15.0%,12,9.0%,6,33.9%,28,-14.6%,1,3.6%,23,0.5%
DEN,12,7.7%,15,10,8.1%,11,21.8%,8,0.4%,6,12.0%,8,27.9%,7,2.6%,10,5.2%,31,4.0%
CLE,13,6.2%,13,14,1.7%,17,13.8%,4,6.9%,15,7.0%,20,11.5%,1,11.2%,24,9.0%,24,0.6%
BUF,14,5.9%,14,12,6.0%,13,20.9%,14,-5.8%,7,11.1%,9,26.3%,9,-0.7%,32,16.4%,20,0.2%
SEA,15,5.4%,16,16,0.8%,12,21.0%,15,-6.3%,16,6.4%,13,23.0%,16,-6.5%,18,7.8%,8,-1.4%
ARI,16,5.1%,12,15,1.4%,5,32.0%,26,-14.5%,9,10.1%,5,34.2%,15,-6.1%,20,8.0%,14,-0.5%
BAL,17,0.9%,19,18,-3.4%,20,8.0%,7,0.6%,17,4.6%,19,12.1%,5,3.9%,13,6.8%,30,2.4%
LV,18,-1.6%,17,17,-1.7%,16,14.5%,28,-16.2%,19,-0.3%,15,14.1%,23,-12.0%,21,8.1%,27,1.2%
NO,19,-3.2%,21,21,-5.2%,15,14.6%,21,-11.0%,21,-4.3%,18,12.8%,21,-11.4%,28,10.5%,10,-1.1%
WAS,20,-3.4%,18,19,-4.8%,19,13.2%,24,-14.2%,22,-4.6%,21,8.8%,22,-11.8%,5,4.0%,6,-1.6%
CIN,21,-5.2%,23,20,-5.0%,24,4.0%,20,-10.4%,18,0.9%,17,13.0%,17,-7.7%,22,8.4%,32,5.0%
PIT,22,-5.3%,20,23,-6.6%,21,7.3%,25,-14.3%,20,-4.2%,22,8.8%,27,-13.7%,8,4.9%,29,1.6%
TEN,23,-5.7%,22,24,-8.9%,23,4.4%,17,-7.8%,23,-6.3%,24,4.9%,19,-9.5%,19,7.8%,4,-2.4%
NYJ,24,-8.7%,24,22,-6.5%,26,-5.5%,16,-6.7%,24,-11.8%,28,-8.8%,20,-9.6%,6,4.5%,1,-4.0%
MIA,25,-11.4%,25,25,-11.0%,22,7.0%,30,-28.8%,25,-13.0%,23,7.2%,31,-33.6%,2,3.9%,9,-1.2%
CHI,26,-13.0%,26,26,-11.8%,27,-6.0%,19,-8.5%,26,-13.6%,27,-7.9%,18,-7.7%,25,9.1%,25,0.8%
NYG,27,-14.8%,28,27,-17.2%,28,-6.2%,29,-17.9%,27,-14.2%,26,-6.3%,29,-16.4%,11,6.1%,11,-0.8%
JAX,28,-17.7%,27,29,-20.9%,29,-13.9%,18,-7.8%,30,-21.0%,29,-16.5%,24,-12.4%,26,9.8%,5,-2.2%
ATL,29,-18.5%,31,28,-18.9%,25,-1.5%,31,-31.5%,28,-17.7%,25,-1.7%,30,-29.2%,29,11.1%,7,-1.6%
CAR,30,-20.8%,30,30,-23.1%,32,-18.5%,22,-11.3%,31,-21.5%,31,-18.2%,26,-13.3%,30,13.6%,13,-0.5%
DET,31,-21.0%,29,31,-23.8%,30,-17.6%,23,-13.7%,29,-20.9%,30,-17.6%,25,-13.1%,3,3.9%,28,1.3%
HOU,32,-30.1%,32,32,-33.9%,31,-17.6%,32,-42.5%,32,-31.2%,32,-18.3%,32,-44.1%,31,15.5%,2,-2.8%

