Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
DAL,1,28.3%,1,11-5,2,30.0%,9,10.4%,1,-15.5%,5,2.4%,2,12.4,2,31.8%,27,-2.0%,13,7.4%,10,10.7%
TB,2,26.9%,2,12-4,6,24.0%,1,25.2%,11,-4.0%,28,-2.4%,3,12.2,3,29.4%,26,-1.6%,27,-23.9%,4,7.5%
BUF,3,26.2%,3,10-6,5,24.4%,8,10.5%,3,-14.7%,15,0.9%,10,9.7,1,31.9%,31,-4.2%,26,-16.0%,32,32.7%
NE,4,24.8%,5,10-6,1,34.7%,10,9.7%,2,-15.4%,21,-0.3%,8,9.8,4,26.0%,24,-1.4%,25,-13.1%,30,26.1%
LAR,5,23.1%,4,12-4,8,22.7%,6,11.2%,5,-9.6%,6,2.3%,1,13.3,5,22.3%,19,-0.5%,7,17.6%,5,8.1%
KC,6,18.3%,6,11-5,3,26.6%,4,16.8%,24,2.9%,2,4.4%,5,10.9,10,13.8%,4,2.2%,20,-3.1%,23,14.7%
SF,7,17.6%,7,9-7,9,20.6%,5,14.2%,8,-5.8%,27,-2.3%,6,10.8,7,17.3%,25,-1.5%,5,23.1%,3,6.0%
GB,8,16.2%,10,13-3,4,24.6%,2,23.2%,19,1.6%,32,-5.4%,4,11.1,8,17.3%,11,1.5%,31,-31.9%,14,12.6%
IND,9,15.0%,8,9-7,7,23.6%,11,8.2%,7,-6.3%,16,0.5%,7,9.9,9,16.6%,16,0.9%,32,-36.2%,8,9.9%
ARI,10,13.9%,9,11-5,13,6.4%,13,4.5%,6,-9.1%,18,0.3%,9,9.7,6,18.6%,9,1.7%,12,8.5%,15,12.7%
LAC,11,9.8%,12,9-7,10,14.1%,3,17.7%,26,6.4%,23,-1.5%,14,8.7,13,8.2%,14,1.1%,21,-6.0%,17,13.1%
SEA,12,8.5%,15,6-10,12,7.7%,7,10.8%,25,4.8%,4,2.5%,15,8.6,12,8.4%,18,0.5%,10,13.9%,2,5.7%
PHI,13,7.4%,11,9-7,11,9.3%,12,8.1%,16,1.0%,17,0.3%,11,9.4,11,10.5%,32,-5.1%,1,28.3%,6,8.7%
NO,14,5.6%,14,8-8,16,0.4%,24,-10.1%,4,-14.6%,12,1.1%,12,9.0,15,4.4%,15,1.0%,30,-30.7%,29,21.5%
CLE,15,3.5%,16,7-9,19,-2.5%,16,3.0%,14,-1.8%,22,-1.3%,13,8.8,18,2.9%,20,-0.7%,17,1.5%,26,16.2%
MIN,16,2.0%,13,7-9,17,-0.5%,17,2.4%,17,1.5%,13,1.0%,17,8.1,17,3.8%,6,1.9%,22,-8.6%,1,4.4%
CIN,17,1.5%,17,10-6,14,5.4%,18,2.0%,20,2.2%,9,1.6%,16,8.2,14,5.5%,28,-3.6%,15,3.5%,21,13.9%
BAL,18,-0.4%,19,8-8,22,-7.1%,14,3.8%,28,10.2%,1,6.0%,20,7.3,19,0.8%,13,1.3%,23,-11.0%,11,10.8%
TEN,19,-2.4%,20,11-5,15,1.6%,22,-6.6%,9,-4.3%,20,-0.1%,19,7.6,21,-5.2%,7,1.9%,28,-24.6%,28,19.3%
DEN,20,-3.1%,18,7-9,18,-1.7%,15,3.7%,21,2.3%,30,-4.5%,21,7.2,16,3.9%,30,-4.2%,6,18.3%,18,13.4%
LV,21,-6.0%,21,9-7,20,-3.9%,19,-1.6%,23,2.6%,24,-1.8%,18,7.8,20,-4.4%,10,1.5%,11,9.8%,13,12.6%
CHI,22,-8.6%,24,6-10,21,-5.5%,25,-12.2%,13,-1.8%,7,1.8%,26,5.1,23,-10.4%,12,1.3%,16,2.0%,24,15.3%
PIT,23,-11.0%,23,8-7-1,26,-14.3%,23,-10.0%,15,1.0%,19,0.1%,22,6.6,24,-14.7%,3,2.4%,18,-0.4%,12,12.4%
WAS,24,-11.8%,25,6-10,25,-13.8%,21,-5.4%,27,8.0%,10,1.6%,23,6.2,25,-17.0%,1,5.8%,29,-26.6%,9,10.4%
MIA,25,-13.1%,22,8-8,24,-9.9%,26,-13.7%,10,-4.3%,29,-3.7%,25,5.7,22,-9.9%,29,-3.7%,4,24.8%,22,13.9%
NYJ,26,-16.0%,26,4-12,23,-8.9%,20,-4.7%,32,15.6%,3,4.3%,24,5.7,26,-19.3%,22,-0.9%,3,26.2%,19,13.6%
CAR,27,-23.9%,28,5-11,30,-34.7%,30,-23.7%,12,-1.9%,26,-2.1%,30,4.1,27,-22.1%,21,-0.8%,2,26.9%,31,28.4%
HOU,28,-24.6%,29,4-12,28,-23.0%,31,-24.4%,18,1.6%,11,1.4%,29,4.3,28,-25.6%,8,1.8%,19,-2.4%,27,16.5%
NYG,29,-26.6%,27,4-12,29,-33.9%,32,-25.0%,22,2.6%,14,1.0%,27,4.4,29,-29.0%,2,3.6%,24,-11.8%,20,13.8%
ATL,30,-30.7%,32,7-9,27,-22.9%,28,-17.0%,29,11.9%,25,-1.8%,28,4.3,30,-29.8%,23,-1.2%,14,5.6%,25,15.3%
DET,31,-31.9%,30,2-13-1,31,-35.5%,29,-20.0%,30,13.6%,8,1.7%,32,3.3,31,-32.6%,5,2.1%,8,16.2%,7,9.3%
JAX,32,-36.2%,31,2-14,32,-38.3%,27,-16.6%,31,14.7%,31,-4.9%,31,3.6,32,-38.7%,17,0.8%,9,15.0%,16,12.9%

