Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
CLE,1,57.1%,-,1,57.1%,6,10.7%,8,57.4%,1,56.6%,2,52.0%,8,57.4%,1,46.2%,1,0.0%,2,41.9%
LAR,2,56.6%,-,2,56.6%,5,10.9%,2,92.0%,4,11.8%,1,56.6%,2,92.0%,4,11.8%,1,0.0%,1,45.2%
SF,3,35.8%,-,3,35.8%,10,3.7%,3,82.8%,7,2.0%,7,22.0%,5,73.5%,15,-16.5%,1,0.0%,3,35.9%
KC,4,32.1%,-,4,32.1%,1,23.1%,4,78.6%,24,-32.2%,3,32.1%,3,78.6%,22,-32.2%,1,0.0%,5,30.3%
SEA,5,29.5%,-,5,29.5%,3,13.1%,5,73.8%,9,-9.2%,5,24.7%,4,73.8%,17,-19.7%,1,0.0%,8,23.5%
DEN,6,26.6%,-,6,26.6%,15,1.1%,13,38.2%,5,5.8%,9,21.5%,16,30.4%,5,5.8%,1,0.0%,10,15.2%
NO,7,25.4%,-,7,25.4%,16,0.5%,1,99.7%,12,-13.4%,4,25.4%,1,99.7%,12,-13.4%,1,0.0%,4,31.9%
DAL,8,22.9%,-,8,22.9%,7,7.9%,10,44.8%,29,-39.9%,6,22.9%,10,44.8%,26,-39.9%,1,0.0%,9,16.3%
PHI,9,21.8%,-,9,21.8%,21,-4.3%,6,62.4%,6,4.2%,8,21.8%,6,62.4%,6,4.2%,1,0.0%,6,25.5%
TB,10,17.5%,-,10,17.5%,2,15.3%,11,42.2%,22,-30.9%,13,8.7%,13,36.3%,29,-50.2%,1,0.0%,11,13.6%
NYG,11,15.8%,-,11,15.8%,22,-4.4%,14,31.7%,20,-23.6%,12,11.1%,17,25.0%,19,-23.6%,1,0.0%,13,5.8%
CIN,12,12.8%,-,12,12.8%,19,-3.8%,12,40.9%,10,-9.5%,10,12.8%,11,40.9%,8,-9.5%,1,0.0%,15,2.4%
ARI,13,11.7%,-,13,11.7%,11,2.7%,7,61.2%,11,-10.6%,11,11.7%,7,61.2%,9,-10.6%,1,0.0%,7,23.7%
MIA,14,5.0%,-,14,5.0%,14,1.5%,24,0.9%,3,18.5%,14,5.0%,23,0.9%,3,18.5%,1,0.0%,17,-1.4%
CAR,15,0.2%,-,15,0.2%,26,-7.9%,16,24.3%,17,-22.1%,22,-9.6%,18,24.3%,28,-46.3%,1,0.0%,12,8.1%
MIN,16,-1.1%,-,16,-1.1%,8,5.6%,9,53.0%,30,-45.5%,20,-5.4%,9,53.0%,30,-58.2%,1,0.0%,14,5.3%
HOU,17,-1.7%,-,17,-1.7%,31,-15.7%,15,24.5%,19,-23.5%,15,3.2%,15,34.2%,18,-23.5%,1,0.0%,18,-2.1%
NE,18,-3.6%,-,18,-3.6%,24,-5.8%,20,16.0%,18,-22.9%,16,0.7%,14,34.5%,23,-32.4%,1,0.0%,23,-9.8%
IND,19,-3.7%,-,19,-3.7%,27,-8.2%,18,21.2%,23,-32.2%,23,-9.7%,19,21.2%,27,-45.1%,1,0.0%,19,-7.2%
LAC,20,-4.9%,-,20,-4.9%,18,-1.7%,22,3.8%,14,-18.6%,18,-4.1%,22,5.1%,16,-18.6%,1,0.0%,21,-9.0%
LV,21,-6.8%,-,21,-6.8%,17,-0.3%,19,16.2%,15,-19.2%,19,-4.6%,21,16.2%,10,-11.6%,1,0.0%,16,1.8%
CHI,22,-7.2%,-,22,-7.2%,25,-7.6%,25,-17.3%,2,22.2%,24,-12.0%,28,-25.6%,2,22.2%,1,0.0%,22,-9.1%
BAL,23,-12.1%,-,23,-12.1%,9,4.5%,23,1.4%,16,-21.2%,27,-18.6%,26,-16.1%,14,-15.2%,1,0.0%,24,-11.5%
WAS,24,-12.2%,-,24,-12.2%,28,-8.5%,17,24.1%,27,-36.5%,17,-2.1%,12,39.7%,21,-31.2%,1,0.0%,26,-14.6%
DET,25,-12.9%,-,25,-12.9%,20,-3.9%,26,-18.2%,8,1.2%,25,-12.9%,27,-18.2%,7,1.2%,1,0.0%,20,-8.3%
PIT,26,-13.9%,-,26,-13.9%,23,-4.5%,21,9.2%,25,-33.7%,21,-7.2%,20,20.2%,24,-33.7%,1,0.0%,25,-13.1%
BUF,27,-26.1%,-,27,-26.1%,13,2.3%,27,-21.3%,21,-28.0%,26,-15.1%,25,-12.8%,11,-12.3%,1,0.0%,28,-28.7%
NYJ,28,-31.6%,-,28,-31.6%,32,-16.7%,28,-21.7%,28,-37.5%,28,-24.8%,24,-10.3%,25,-37.5%,1,0.0%,30,-35.8%
JAX,29,-38.8%,-,29,-38.8%,30,-11.5%,31,-44.4%,13,-14.7%,29,-35.5%,29,-39.7%,13,-14.7%,1,0.0%,27,-28.0%
ATL,30,-47.4%,-,30,-47.4%,29,-9.7%,29,-40.8%,26,-35.0%,30,-44.6%,30,-40.8%,20,-28.0%,1,0.0%,29,-31.8%
TEN,31,-52.4%,-,31,-52.4%,12,2.5%,30,-40.9%,31,-58.3%,31,-61.9%,31,-56.1%,31,-58.3%,1,0.0%,31,-43.0%
GB,32,-58.9%,-,32,-58.9%,4,11.5%,32,-57.2%,32,-62.3%,32,-66.6%,32,-68.6%,32,-62.3%,1,0.0%,32,-45.8%

